"code","type","floor","status","companyName","companyNameEng","shortName","listedDate","delistedDate","companyId","isin","indexCode"
"THD","STOCK","HNX","listed","CÔNG TY CỔ PHẦN THAIHOLDINGS","THAIHOLDINGS JOINT STOCK COMPANY","THAIHOLDINGS","2020-06-19",,"10564","VN000000THD3","HNX30"
"MDC","STOCK","HNX","listed","Công ty Cổ phần Than Mông Dương - Vinacomin","Vinacomin – Mong Duong Coal Joint Stock Company","Than Mông Dương","2009-07-23",,"2119","VN000000MDC9",
"HPR","STOCK","HNX","delisted","Công ty Cổ phần Đầu tư Xây dựng Hồng Phát","Hong Phat Construction Investment Joint Stock Company",,"2011-05-12","2013-05-02","2135",,
"LIG","STOCK","HNX","listed","Công ty Cổ phần Licogi 13","Licogi 13 Joint Stock Company","CTCP Licogi 13","2010-04-22",,"2767","VN000000LIG1",
"LUT","STOCK","HNX","listed","Công ty Cổ phần Đầu tư xây dựng Lương Tài","Luong Tai Investment Construction Joint Stock Company","ĐT XD Lương Tài","2008-01-04",,"2204","VN000000LUT9",
"TSM","STOCK","HNX","delisted","Công ty Cổ phần Xi măng Tiên Sơn Hà Tây","Tien Son Cement Joint Stock Company","Xi măng Tiên Sơn Hà Tây","2010-07-02","2015-06-11","2823",,
"SRA","STOCK","HNX","listed","Công ty Cổ phần Sara Việt Nam ","SARA Viet Nam Joint Stock Company","Sara Việt Nam","2008-01-18",,"2224","VN000000SRA0",
"CTX","STOCK","HNX","listed","Tổng Công ty Cổ phần Đầu tư xây dựng và Thương mại Việt Nam","Viet  Nam  Investment  Construction  and  Trading  Joint  Stock Corporation","Đ.tư XD T.mại VN","2012-05-24",,"2847","VN000000CTX2",
"VC6","STOCK","HNX","listed","Công ty cổ phần Xây dựng và Đầu tư Visicons","Visicons Construction and Investment Joint Stock Company","Xây dựng Visicons","2008-01-28",,"2232","VN000000VC62",
"DTK","STOCK","HNX","listed","Tổng công ty Điện lực TKV - CTCP","Vinacomin – Power Holding Corporation","TCT Điện lực TKV","2020-12-25",,"4878","VN000000 DTK",
"HBE","STOCK","HNX","delisted","Công ty Cổ phần Sách-Thiết bị trường học Hà Tĩnh ","Ha Tinh Book And Equiptment Education Joint Stock COmpany","T.bị trg học H.Tĩnh","2008-02-22","2021-08-09","2264","VN000000HBE9",
"TMB","STOCK","HNX","listed","Công ty Cổ phần Kinh doanh Than miền Bắc - Vinacomin","Vinacomin - North Coal Trading Joint Stock Company","Than miền Bắc","2017-01-16",,"2868","VN000000TMB7",
"HHG","STOCK","HNX","listed","Công ty Cổ phần Hoàng Hà ","Hoàng Ha Joint Stock Company","CTCP Hoàng Hà","2010-07-28",,"2872","VN000000HHG1",
"BAB","STOCK","HNX","listed","Ngân hàng Thương mại cổ phần Bắc Á","Bac A Commercial Joint Stock Bank","Ngân hàng Bắc Á","2021-03-03",,"2291","VN000000BAB0",
"TV4","STOCK","HNX","listed","Công ty Cổ phần Tư vấn xây dựng điện 4","Power Engineering Consulting Joint Stock Company 4","Xây dựng điện 4","2008-07-22",,"2363","VN000000TV48",
"HAT","STOCK","HNX","listed","Công ty Cổ phần Thương mại Bia Hà Nội ","Ha Noi Beer Trading Joint Stock Company","Thương mại Bia HN","2010-10-29",,"2986","VN000000HAT9",
"SGC","STOCK","HNX","listed","Công ty Cổ phần Xuất nhập khẩu Sa Giang","Sa Giang Import Export Corporation","XNK Sa Giang","2009-06-18",,"917","VN000000SGC9",
